Altitude (m MSL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%)
349, 97891, 3.30, 138.20, 12.78, 0
350, 97882, 3.50, 128.20, 12.78, 0
351, 97872, 3.40, 141.20, 12.78, 0
352, 97863, 3.05, 131.00, 12.78, 0
353, 97854, 3.65, 132.30, 12.78, 0
353, 97844, 3.70, 148.30, 12.78, 0
354, 97835, 3.90, 132.00, 12.78, 0
355, 97826, 4.65, 146.50, 12.78, 0
356, 97812, 4.45, 145.00, 12.78, 0
357, 97798, 3.95, 141.80, 12.78, 0
359, 97784, 3.65, 153.10, 12.78, 0
359, 97782, 3.90, 137.70, 12.69, 0
360, 97772, 4.25, 149.00, 12.69, 0
361, 97762, 4.45, 137.10, 12.78, 0
361, 97752, 4.25, 137.70, 12.69, 0
362, 97749, 3.70, 146.60, 12.78, 0
362, 97746, 3.35, 132.90, 12.78, 0
362, 97744, 2.95, 131.00, 12.78, 0
364, 97724, 3.90, 132.70, 12.78, 0
365, 97705, 3.55, 132.30, 12.69, 0
367, 97686, 4.15, 145.80, 12.69, 0
368, 97677, 4.15, 142.10, 12.69, 0
369, 97666, 4.25, 132.00, 12.69, 0
369, 97658, 4.60, 142.80, 12.69, 0
370, 97651, 3.40, 136.50, 12.59, 0
371, 97644, 4.70, 149.10, 12.69, 0
372, 97630, 4.20, 143.10, 12.69, 0
373, 97617, 3.40, 127.90, 12.69, 0
374, 97604, 3.20, 144.70, 12.69, 0
374, 97601, 3.35, 125.60, 12.69, 0
374, 97598, 3.45, 143.90, 12.69, 0
375, 97596, 4.95, 143.70, 12.69, 0
375, 97590, 2.95, 143.70, 12.69, 0
376, 97584, 4.10, 136.20, 12.59, 0
376, 97578, 3.60, 138.30, 12.59, 0
377, 97573, 3.60, 130.00, 12.59, 0
377, 97568, 3.35, 140.00, 12.59, 0
378, 97554, 3.50, 146.70, 12.59, 0
380, 97540, 3.95, 137.30, 12.59, 0
381, 97526, 3.50, 142.50, 12.59, 0
381, 97521, 4.05, 130.80, 12.59, 0
382, 97516, 4.05, 137.30, 12.59, 0
382, 97512, 3.80, 139.70, 12.59, 0
382, 97510, 3.10, 129.10, 12.59, 0
382, 97509, 3.30, 139.40, 12.59, 0
382, 97508, 2.55, 126.80, 12.59, 0
383, 97499, 3.55, 131.80, 12.50, 0
384, 97491, 3.85, 138.90, 12.50, 0
384, 97484, 3.35, 126.80, 12.50, 0
385, 97479, 3.10, 131.60, 12.59, 0
385, 97474, 3.50, 131.50, 12.59, 0
386, 97470, 3.95, 130.30, 12.50, 0
386, 97459, 3.80, 142.20, 12.50, 0
387, 97448, 3.85, 126.60, 12.50, 0
388, 97438, 3.40, 139.10, 12.50, 0
389, 97429, 3.75, 138.60, 12.50, 0
390, 97420, 3.75, 129.80, 12.50, 0
391, 97412, 3.45, 142.20, 12.50, 0
392, 97399, 3.40, 124.60, 12.50, 0
393, 97386, 3.35, 134.30, 12.50, 0
394, 97374, 3.35, 142.20, 12.50, 0
394, 97366, 3.70, 129.90, 12.50, 0
395, 97357, 2.95, 121.20, 12.40, 0
396, 97348, 3.55, 133.90, 12.50, 0
397, 97333, 3.95, 133.70, 12.50, 0
399, 97318, 3.95, 124.40, 12.50, 0
400, 97304, 3.60, 135.30, 12.40, 0
400, 97300, 3.65, 132.90, 12.40, 0
400, 97296, 3.80, 139.80, 12.40, 0
401, 97292, 3.35, 133.10, 12.40, 0
401, 97288, 3.50, 132.30, 12.40, 0
402, 97279, 3.95, 140.00, 12.40, 0
403, 97270, 3.80, 131.90, 12.40, 0
403, 97262, 4.00, 137.50, 12.40, 0
405, 97247, 4.05, 138.90, 12.40, 0
406, 97232, 3.40, 131.10, 12.40, 0
407, 97218, 3.55, 129.10, 12.40, 0
408, 97210, 4.55, 144.20, 12.40, 0
409, 97200, 4.55, 140.70, 12.40, 0
410, 97187, 4.55, 134.10, 12.40, 0
411, 97174, 4.40, 134.60, 12.40, 0
412, 97162, 4.15, 135.40, 12.40, 0
413, 97154, 4.05, 133.70, 12.40, 0
414, 97139, 3.95, 138.20, 12.31, 0
415, 97125, 4.15, 137.80, 12.31, 0
416, 97112, 3.95, 139.60, 12.31, 0
417, 97104, 4.30, 136.40, 12.31, 0
418, 97097, 3.90, 142.20, 12.31, 0
418, 97090, 3.65, 137.50, 12.31, 0
419, 97084, 3.75, 128.60, 12.31, 0
420, 97073, 3.75, 133.60, 12.31, 0
421, 97062, 4.05, 135.30, 12.31, 0
421, 97052, 4.10, 140.30, 12.31, 0
422, 97051, 3.90, 134.10, 12.31, 0
422, 97050, 3.70, 132.20, 12.31, 0
422, 97050, 3.60, 141.90, 12.31, 0
422, 97047, 3.85, 130.70, 12.31, 0
422, 97044, 3.70, 129.20, 12.31, 0
422, 97042, 4.05, 140.20, 12.21, 0
424, 97021, 4.30, 138.80, 12.21, 0
426, 97001, 4.50, 142.10, 12.21, 0
427, 96982, 4.35, 140.30, 12.21, 0
428, 96971, 5.00, 133.80, 12.12, 0
430, 96956, 4.25, 138.30, 12.21, 0
431, 96942, 4.25, 138.60, 12.21, 0
432, 96930, 3.80, 136.60, 12.12, 0
433, 96918, 3.95, 131.50, 12.21, 0
434, 96906, 3.60, 138.50, 12.21, 0
435, 96895, 4.00, 137.70, 12.21, 0
436, 96884, 4.00, 134.80, 12.21, 0
437, 96874, 4.50, 134.80, 12.21, 0
438, 96864, 4.30, 136.60, 12.21, 0
439, 96854, 4.00, 143.20, 12.21, 0
439, 96845, 3.30, 144.10, 12.21, 0
440, 96834, 3.45, 132.10, 12.21, 0
440, 96831, 3.90, 141.80, 12.12, 0
441, 96828, 3.40, 142.90, 12.12, 0
441, 96826, 3.65, 138.80, 12.12, 0
441, 96820, 3.45, 142.80, 12.12, 0
442, 96815, 4.60, 132.80, 12.12, 0
442, 96810, 3.60, 139.70, 12.02, 0
444, 96792, 4.75, 142.80, 12.21, 0
445, 96775, 3.40, 143.70, 12.31, 0
447, 96758, 2.85, 143.80, 12.31, 0
447, 96755, 3.45, 131.70, 12.31, 0
447, 96753, 3.45, 137.10, 12.40, 0
447, 96752, 3.30, 139.50, 12.40, 0
448, 96749, 3.50, 140.70, 12.50, 0
448, 96746, 3.30, 148.90, 12.50, 0
448, 96744, 3.70, 141.60, 12.40, 0
448, 96740, 4.15, 140.80, 12.50, 0
449, 96736, 3.65, 138.60, 12.50, 0
449, 96732, 3.65, 138.10, 12.50, 0
451, 96714, 3.35, 139.70, 12.40, 0
452, 96697, 3.50, 146.60, 12.40, 0
454, 96680, 2.50, 144.80, 12.40, 0
454, 96676, 3.00, 148.40, 12.40, 0
454, 96672, 3.25, 139.40, 12.31, 0
455, 96668, 3.70, 138.60, 12.31, 0
455, 96665, 3.10, 142.50, 12.31, 0
455, 96663, 2.85, 158.30, 12.21, 0
455, 96662, 3.05, 146.60, 12.31, 0
456, 96655, 3.45, 147.40, 12.21, 0
456, 96649, 2.30, 123.30, 12.31, 0
457, 96644, 2.55, 134.20, 12.21, 0
458, 96628, 3.05, 139.40, 12.31, 0
459, 96613, 2.45, 145.30, 12.21, 0
461, 96598, 3.60, 146.40, 12.21, 0
461, 96596, 3.20, 137.90, 12.21, 0
461, 96595, 2.85, 142.80, 12.21, 0
461, 96594, 3.00, 146.50, 12.21, 0
462, 96583, 2.65, 151.20, 12.21, 0
463, 96573, 3.05, 154.00, 12.31, 0
464, 96564, 2.90, 150.50, 12.21, 0
464, 96559, 3.05, 151.60, 12.21, 0
464, 96554, 3.15, 147.80, 12.21, 0
465, 96550, 3.40, 151.40, 12.12, 0
466, 96533, 4.85, 144.30, 12.12, 0
468, 96516, 3.80, 152.30, 12.12, 0
469, 96500, 3.40, 151.60, 12.12, 0
470, 96491, 4.05, 144.90, 12.12, 0
471, 96478, 3.05, 150.40, 12.12, 0
472, 96466, 3.25, 146.00, 12.12, 0
473, 96449, 2.95, 158.30, 12.12, 0
475, 96432, 3.10, 158.00, 12.12, 0
476, 96416, 2.65, 152.60, 12.02, 0
477, 96408, 3.80, 155.80, 12.12, 0
478, 96400, 3.15, 154.60, 12.02, 0
479, 96389, 3.70, 144.90, 12.12, 0
480, 96378, 2.95, 151.50, 12.12, 0
481, 96368, 2.60, 152.60, 12.12, 0
481, 96359, 2.90, 159.60, 12.02, 0
482, 96350, 2.65, 163.70, 12.12, 0
483, 96342, 3.50, 156.50, 12.12, 0
484, 96327, 3.10, 159.30, 12.12, 0
485, 96313, 2.40, 152.20, 12.12, 0
486, 96300, 1.40, 152.20, 12.12, 0
487, 96295, 1.20, 152.20, 12.12, 0
487, 96290, 2.50, 162.70, 12.02, 0
488, 96286, 2.85, 164.10, 12.12, 0
488, 96282, 2.85, 163.00, 12.02, 0
488, 96278, 2.40, 154.00, 12.12, 0
489, 96274, 3.15, 160.30, 12.02, 0
490, 96263, 3.70, 149.90, 12.12, 0
491, 96252, 3.15, 159.90, 12.12, 0
491, 96242, 2.55, 171.70, 12.12, 0
493, 96228, 2.15, 151.50, 12.02, 0
494, 96214, 2.25, 151.00, 11.93, 0
495, 96200, 2.50, 155.80, 12.02, 0
496, 96189, 2.80, 154.00, 12.02, 0
497, 96179, 3.05, 160.80, 12.02, 0
498, 96170, 2.30, 160.10, 12.12, 0
499, 96160, 2.15, 163.80, 12.02, 0
499, 96150, 2.70, 164.30, 12.02, 0
500, 96140, 2.50, 153.00, 12.02, 0
502, 96120, 2.60, 162.00, 12.02, 0
504, 96100, 2.95, 159.30, 12.02, 0
505, 96080, 1.95, 160.10, 11.93, 0
506, 96071, 2.55, 160.60, 12.02, 0
507, 96060, 2.30, 156.10, 12.02, 0
508, 96050, 2.25, 158.00, 11.93, 0
509, 96041, 3.00, 154.70, 11.93, 0
510, 96032, 2.40, 162.50, 11.93, 0
510, 96024, 1.50, 162.50, 11.93, 0
511, 96014, 1.75, 158.60, 11.93, 0
512, 96004, 2.55, 163.80, 11.83, 0
513, 95994, 2.45, 149.40, 11.83, 0
515, 95973, 3.00, 147.80, 11.83, 0
